Time,Heart Rate
14:01:00,103
14:05:00,57
14:06:00,52
14:07:00,52
14:08:00,51
16:54:00,95
16:55:00,103
16:56:00,155
16:57:00,154
16:58:00,146
16:59:00,152
17:00:00,123
17:01:00,90
17:02:00,81
17:03:00,83
17:04:00,87
17:05:00,140
17:06:00,155
17:07:00,151
17:08:00,93
17:09:00,86
17:10:00,76
17:11:00,75
17:12:00,74
17:13:00,67
17:14:00,68
17:15:00,70
17:16:00,72
17:17:00,72
17:18:00,67
17:19:00,67
17:20:00,69
17:21:00,70
17:22:00,68
17:23:00,69
17:24:00,68
17:25:00,67
17:26:00,70
17:27:00,69
17:28:00,76
17:29:00,75
17:30:00,73
17:31:00,70
17:32:00,69
17:33:00,69
17:34:00,73
17:35:00,70
17:36:00,65
17:37:00,66
17:38:00,66
17:39:00,64
17:40:00,68
17:41:00,68
17:42:00,65
17:43:00,64
17:44:00,64
17:45:00,65
17:46:00,65
17:47:00,67
17:48:00,68
17:49:00,68
17:50:00,67
17:51:00,65
17:52:00,64
17:53:00,67
17:54:00,67
17:55:00,64
17:56:00,66
17:57:00,65
17:58:00,66
17:59:00,73
18:00:00,75
18:01:00,83
18:02:00,89
18:03:00,84
18:04:00,84
