Time,Heart Rate
14:49:00,44
14:50:00,44
14:51:00,46
14:52:00,44
14:53:00,44
14:54:00,44
14:55:00,43
14:56:00,43
14:57:00,43
14:58:00,43
14:59:00,46
15:00:00,48
15:01:00,47
15:02:00,46
15:03:00,44
15:04:00,44
15:05:00,44
15:06:00,45
15:07:00,45
15:08:00,45
15:09:00,43
15:10:00,42
15:11:00,42
15:12:00,42
15:13:00,42
15:14:00,42
15:15:00,42
15:16:00,42
15:17:00,42
15:18:00,42
15:19:00,41
15:20:00,41
15:21:00,41
15:22:00,41
15:23:00,42
15:24:00,44
15:25:00,45
15:26:00,44
15:27:00,43
15:28:00,43
15:29:00,42
15:30:00,42
15:31:00,42
15:32:00,43
15:33:00,43
15:34:00,42
15:35:00,43
15:36:00,45
15:37:00,44
15:38:00,45
15:39:00,46
15:40:00,45
15:42:00,45
15:43:00,46
15:44:00,46
15:45:00,45
15:46:00,44
15:47:00,44
15:48:00,44
15:49:00,44
15:50:00,44
15:51:00,46
15:52:00,47
15:53:00,48
15:54:00,47
15:55:00,46
15:56:00,46
15:57:00,46
15:58:00,46
15:59:00,46
16:00:00,45
16:01:00,44
16:02:00,44
16:03:00,44
16:04:00,44
16:05:00,44
16:06:00,44
16:07:00,44
16:08:00,44
16:10:00,44
16:11:00,44
16:12:00,45
16:13:00,45
16:14:00,45
16:15:00,44
16:16:00,44
16:17:00,44
16:18:00,44
16:19:00,44
16:20:00,46
16:21:00,60
16:22:00,70
16:23:00,76
16:24:00,89
16:25:00,101
16:26:00,119
16:27:00,127
16:28:00,139
16:29:00,155
16:30:00,158
16:31:00,157
16:32:00,158
16:33:00,157
16:34:00,157
16:35:00,158
16:36:00,147
16:37:00,131
16:38:00,123
16:39:00,120
16:40:00,138
16:41:00,149
16:42:00,155
16:43:00,151
16:44:00,159
16:45:00,153
16:46:00,152
16:47:00,157
16:48:00,151
16:49:00,149
16:50:00,155
16:51:00,154
16:52:00,151
16:53:00,143
16:54:00,134
16:55:00,123
16:56:00,107
