Time,Heart Rate
10:40:00,73
10:41:00,59
10:42:00,52
10:43:00,48
10:44:00,47
10:45:00,45
10:46:00,44
10:47:00,42
10:48:00,40
10:49:00,40
10:50:00,45
10:51:00,47
10:52:00,46
10:53:00,45
10:54:00,43
10:55:00,43
10:56:00,42
10:57:00,42
10:58:00,42
11:00:00,42
11:01:00,42
11:02:00,42
11:03:00,45
11:04:00,47
11:05:00,43
11:06:00,43
11:07:00,42
11:08:00,41
11:09:00,42
11:10:00,43
11:11:00,45
11:12:00,45
11:13:00,44
11:14:00,44
11:15:00,44
11:16:00,44
11:17:00,44
11:18:00,44
11:19:00,44
11:20:00,44
11:25:00,44
11:26:00,44
11:27:00,43
11:28:00,44
11:29:00,44
11:31:00,44
11:32:00,44
11:33:00,44
11:34:00,44
11:35:00,44
11:36:00,44
11:37:00,46
11:38:00,46
11:39:00,46
11:40:00,46
11:41:00,45
11:42:00,45
11:43:00,45
11:44:00,44
11:45:00,43
11:46:00,43
11:47:00,45
11:48:00,47
11:49:00,45
11:50:00,45
11:51:00,44
11:52:00,44
11:53:00,43
11:54:00,43
11:55:00,43
11:56:00,44
11:57:00,42
11:58:00,43
11:59:00,43
12:00:00,43
12:01:00,45
12:02:00,45
12:03:00,44
12:04:00,44
12:05:00,44
12:06:00,44
12:07:00,44
12:08:00,44
12:09:00,44
12:10:00,44
12:11:00,44
12:12:00,44
12:13:00,45
12:14:00,45
12:15:00,45
12:16:00,44
12:17:00,44
12:18:00,44
12:19:00,44
12:20:00,44
12:21:00,45
12:22:00,45
12:23:00,44
12:24:00,44
12:25:00,43
12:26:00,43
12:27:00,42
12:28:00,41
12:29:00,41
12:30:00,41
12:31:00,41
12:32:00,41
12:33:00,41
12:34:00,41
12:35:00,41
12:36:00,48
12:37:00,49
12:38:00,49
12:39:00,48
12:40:00,48
12:41:00,47
12:42:00,45
12:43:00,45
12:44:00,44
12:45:00,47
12:46:00,47
12:47:00,47
12:48:00,47
12:49:00,46
12:50:00,49
12:51:00,51
12:52:00,50
12:53:00,48
12:54:00,49
12:55:00,47
12:56:00,46
12:57:00,46
12:58:00,45
12:59:00,45
13:00:00,44
13:01:00,45
13:02:00,45
13:03:00,44
13:04:00,43
13:05:00,43
13:06:00,43
13:07:00,43
13:08:00,43
13:09:00,44
13:10:00,43
13:11:00,43
13:12:00,45
13:13:00,44
13:14:00,44
13:15:00,44
13:16:00,45
13:17:00,45
13:18:00,44
13:19:00,44
13:20:00,43
13:21:00,43
13:22:00,44
13:23:00,44
13:24:00,43
13:25:00,43
13:26:00,43
13:27:00,43
13:28:00,45
13:29:00,45
13:30:00,46
13:31:00,46
13:32:00,46
13:33:00,44
13:34:00,39
13:35:00,38
13:36:00,60
13:37:00,56
13:38:00,50
13:39:00,49
13:40:00,47
13:41:00,46
13:42:00,45
13:44:00,45
13:45:00,44
13:46:00,44
13:47:00,44
13:48:00,44
13:49:00,43
13:50:00,42
13:51:00,41
13:52:00,41
13:53:00,41
13:54:00,42
13:55:00,43
13:56:00,43
13:57:00,43
13:58:00,44
13:59:00,44
14:00:00,45
14:01:00,46
14:02:00,46
14:03:00,46
14:04:00,47
14:05:00,47
14:06:00,46
14:07:00,45
14:08:00,46
14:09:00,45
14:10:00,44
14:11:00,44
14:12:00,45
14:13:00,46
14:14:00,47
14:15:00,47
14:16:00,44
14:17:00,44
14:18:00,43
14:19:00,45
14:20:00,50
14:21:00,47
14:22:00,47
14:23:00,47
14:24:00,46
14:25:00,46
14:26:00,46
14:27:00,46
14:28:00,45
14:29:00,46
14:30:00,48
14:31:00,49
14:32:00,46
14:33:00,45
14:34:00,46
14:35:00,46
14:36:00,46
14:37:00,44
14:38:00,44
14:39:00,44
14:40:00,46
14:41:00,45
14:42:00,44
14:43:00,47
14:44:00,46
14:45:00,44
14:46:00,44
14:47:00,46
14:48:00,45
