Time,Heart Rate
00:00:00,87
00:01:00,133
00:02:00,141
00:03:00,113
00:04:00,101
00:05:00,97
00:06:00,108
00:07:00,94
00:08:00,93
00:09:00,86
00:10:00,88
00:11:00,78
00:12:00,72
00:13:00,88
00:14:00,85
00:15:00,78
00:16:00,71
00:17:00,67
00:18:00,70
00:19:00,79
00:20:00,78
00:21:00,93
00:22:00,94
00:23:00,97
00:24:00,86
00:25:00,86
00:26:00,89
00:27:00,83
00:28:00,85
00:29:00,86
08:35:00,83
08:36:00,86
08:37:00,89
08:38:00,106
08:39:00,121
08:40:00,122
08:41:00,126
08:42:00,122
08:43:00,119
08:44:00,116
08:45:00,127
08:46:00,129
08:47:00,129
08:48:00,130
08:49:00,128
08:50:00,126
08:51:00,127
08:52:00,129
08:53:00,127
08:55:00,114
08:56:00,109
08:57:00,124
08:58:00,127
08:59:00,127
09:00:00,122
09:01:00,122
09:02:00,122
09:05:00,125
09:06:00,125
09:07:00,119
09:08:00,109
09:09:00,107
09:10:00,106
09:11:00,113
09:13:00,116
09:14:00,111
09:15:00,116
09:16:00,122
09:17:00,116
09:18:00,114
09:19:00,113
09:20:00,115
09:21:00,112
09:22:00,115
09:24:00,116
09:28:00,115
09:29:00,117
09:30:00,122
09:31:00,127
09:32:00,132
09:33:00,131
09:34:00,131
09:35:00,129
09:36:00,122
09:37:00,116
09:38:00,115
09:39:00,117
09:40:00,113
09:41:00,112
09:42:00,111
09:43:00,120
09:44:00,114
13:33:00,55
13:34:00,54
13:35:00,49
14:12:00,45
14:13:00,47
14:47:00,51
14:50:00,51
14:51:00,46
14:53:00,106
14:54:00,106
14:55:00,107
14:56:00,94
14:57:00,99
14:58:00,107
14:59:00,116
15:00:00,120
15:01:00,112
15:02:00,126
15:03:00,130
15:04:00,128
15:05:00,142
15:06:00,149
15:07:00,152
15:08:00,151
15:09:00,147
15:10:00,151
15:11:00,151
15:12:00,145
15:13:00,141
15:14:00,133
15:15:00,127
15:16:00,118
15:17:00,113
15:18:00,110
15:19:00,107
15:20:00,115
15:21:00,121
15:22:00,121
15:23:00,119
15:24:00,117
15:25:00,121
15:26:00,132
15:27:00,137
15:28:00,146
15:29:00,146
15:30:00,145
15:31:00,135
15:32:00,128
15:33:00,138
15:34:00,147
15:35:00,130
15:36:00,115
15:37:00,110
15:38:00,111
15:39:00,117
