timestamp,heart_rate,timestamp_16
2020-06-03 04:12:26,74,
2020-06-03 04:12:31,75,
2020-06-03 04:12:39,80,
2020-06-03 04:12:40,85,
2020-06-03 04:12:41,89,
2020-06-03 04:12:43,92,
2020-06-03 04:12:45,95,
2020-06-03 04:12:48,102,
2020-06-03 04:12:49,105,
2020-06-03 04:12:50,108,
2020-06-03 04:12:51,112,
2020-06-03 04:12:52,115,
2020-06-03 04:12:54,120,
2020-06-03 04:12:59,123,
2020-06-03 04:13:04,112,
2020-06-03 04:13:05,108,
2020-06-03 04:13:06,96,
2020-06-03 04:13:07,91,
2020-06-03 04:13:14,90,
2020-06-03 04:13:18,93,
2020-06-03 04:13:25,96,
2020-06-03 04:13:33,96,
2020-06-03 04:13:40,99,
2020-06-03 04:13:47,99,
2020-06-03 04:13:54,99,
2020-06-03 04:13:55,96,
2020-06-03 04:13:57,101,
2020-06-03 04:13:58,101,
2020-06-03 04:14:03,98,
2020-06-03 04:14:09,101,
2020-06-03 04:14:16,102,
2020-06-03 04:14:20,102,
2020-06-03 04:14:26,102,
2020-06-03 04:14:28,102,
2020-06-03 04:14:33,101,
2020-06-03 04:14:36,101,
2020-06-03 04:14:45,102,
2020-06-03 04:14:52,102,
2020-06-03 04:15:01,102,
2020-06-03 04:15:02,102,
2020-06-03 04:15:07,103,
2020-06-03 04:15:15,101,
2020-06-03 04:15:24,102,
2020-06-03 04:15:32,103,
2020-06-03 04:15:38,103,
2020-06-03 04:15:43,103,
2020-06-03 04:15:50,102,
2020-06-03 04:15:56,103,
2020-06-03 04:16:04,102,
2020-06-03 04:16:12,102,
2020-06-03 04:16:17,103,
2020-06-03 04:16:25,103,
2020-06-03 04:16:33,104,
2020-06-03 04:16:41,104,
2020-06-03 04:16:43,104,
2020-06-03 04:16:51,103,
2020-06-03 04:16:59,102,
2020-06-03 04:17:06,103,
2020-06-03 04:17:12,103,
2020-06-03 04:17:19,104,
2020-06-03 04:17:27,104,
2020-06-03 04:17:37,104,
2020-06-03 04:17:43,104,
2020-06-03 04:17:50,102,
2020-06-03 04:17:58,103,
2020-06-03 04:18:03,103,
2020-06-03 04:18:10,104,
2020-06-03 04:18:16,104,
2020-06-03 04:18:19,104,
2020-06-03 04:18:25,105,
2020-06-03 04:18:29,105,
2020-06-03 04:18:31,105,
2020-06-03 04:18:40,106,
2020-06-03 04:18:48,105,
2020-06-03 04:18:53,105,
2020-06-03 04:19:00,105,
2020-06-03 04:19:06,105,
2020-06-03 04:19:13,105,
2020-06-03 04:19:20,105,
2020-06-03 04:19:28,106,
2020-06-03 04:19:36,106,
2020-06-03 04:19:42,105,
2020-06-03 04:19:47,106,
2020-06-03 04:19:53,106,
2020-06-03 04:19:59,106,
2020-06-03 04:20:04,105,
2020-06-03 04:20:10,106,
2020-06-03 04:20:16,102,
2020-06-03 04:20:20,99,
2020-06-03 04:20:24,92,
2020-06-03 04:20:32,94,
2020-06-03 04:20:39,93,
2020-06-03 04:20:47,94,
2020-06-03 04:20:53,97,
2020-06-03 04:21:00,99,
2020-06-03 04:21:07,100,
2020-06-03 04:21:11,100,
2020-06-03 04:21:13,101,
2020-06-03 04:21:19,102,
2020-06-03 04:21:24,102,
2020-06-03 04:21:27,103,
2020-06-03 04:21:30,103,
2020-06-03 04:21:39,103,
2020-06-03 04:21:49,104,
2020-06-03 04:21:56,105,
2020-06-03 04:22:03,104,
2020-06-03 04:22:04,105,
2020-06-03 04:22:12,105,
2020-06-03 04:22:18,105,
2020-06-03 04:22:23,104,
2020-06-03 04:22:29,103,
2020-06-03 04:22:35,102,
2020-06-03 04:22:42,103,
2020-06-03 04:22:49,103,
2020-06-03 04:22:56,104,
2020-06-03 04:22:58,108,
2020-06-03 04:22:59,111,
2020-06-03 04:23:01,139,
2020-06-03 04:23:02,156,
2020-06-03 04:23:04,159,
2020-06-03 04:23:07,162,
2020-06-03 04:23:11,166,
2020-06-03 04:23:12,173,
2020-06-03 04:23:13,173,
2020-06-03 04:23:20,171,
2020-06-03 04:23:26,172,
2020-06-03 04:23:33,172,
2020-06-03 04:23:35,169,
2020-06-03 04:23:38,172,
2020-06-03 04:23:45,171,
2020-06-03 04:23:46,172,
2020-06-03 04:23:52,173,
2020-06-03 04:23:58,173,
2020-06-03 04:24:04,172,
2020-06-03 04:24:10,171,
2020-06-03 04:24:17,171,
2020-06-03 04:24:24,172,
2020-06-03 04:24:30,172,
2020-06-03 04:24:36,171,
2020-06-03 04:24:42,172,
2020-06-03 04:24:49,169,
2020-06-03 04:24:51,172,
2020-06-03 04:24:58,172,
2020-06-03 04:25:04,172,
2020-06-03 04:25:10,171,
2020-06-03 04:25:16,171,
2020-06-03 04:25:22,170,
2020-06-03 04:25:28,170,
2020-06-03 04:25:32,173,
2020-06-03 04:25:38,173,
2020-06-03 04:25:44,173,
2020-06-03 04:25:51,172,
2020-06-03 04:25:59,169,
2020-06-03 04:26:02,171,
2020-06-03 04:26:10,170,
2020-06-03 04:26:17,169,
2020-06-03 04:26:23,167,
2020-06-03 04:26:27,168,
2020-06-03 04:26:37,168,
2020-06-03 04:26:45,168,
2020-06-03 04:26:50,167,
2020-06-03 04:26:54,164,
2020-06-03 04:26:59,165,
2020-06-03 04:27:05,165,
2020-06-03 04:27:12,165,
2020-06-03 04:27:17,166,
2020-06-03 04:27:19,169,
2020-06-03 04:27:31,167,
2020-06-03 04:27:40,168,
2020-06-03 04:27:42,172,
2020-06-03 04:27:50,173,
2020-06-03 04:27:51,173,
2020-06-03 04:27:53,173,
2020-06-03 04:28:01,175,
2020-06-03 04:28:06,175,
2020-06-03 04:28:10,172,
2020-06-03 04:28:16,172,
2020-06-03 04:28:22,171,
2020-06-03 04:28:25,171,
2020-06-03 04:28:27,171,
2020-06-03 04:28:29,170,
2020-06-03 04:28:33,170,
2020-06-03 04:28:34,170,
2020-06-03 04:28:40,171,
2020-06-03 04:28:46,171,
2020-06-03 04:28:52,171,
2020-06-03 04:28:58,171,
2020-06-03 04:29:03,174,
2020-06-03 04:29:04,174,
2020-06-03 04:29:11,176,
2020-06-03 04:29:18,175,
2020-06-03 04:29:25,177,
2020-06-03 04:29:31,176,
2020-06-03 04:29:37,177,
2020-06-03 04:29:43,177,
2020-06-03 04:29:48,177,
2020-06-03 04:29:54,177,
2020-06-03 04:30:00,177,
2020-06-03 04:30:06,175,
2020-06-03 04:30:08,178,
2020-06-03 04:30:12,175,
2020-06-03 04:30:18,175,
2020-06-03 04:30:24,174,
2020-06-03 04:30:30,175,
2020-06-03 04:30:36,175,
2020-06-03 04:30:42,174,
2020-06-03 04:30:44,171,
2020-06-03 04:30:50,172,
2020-06-03 04:30:57,172,
2020-06-03 04:31:02,172,
2020-06-03 04:31:05,169,
2020-06-03 04:31:09,172,
2020-06-03 04:31:16,170,
2020-06-03 04:31:24,171,
2020-06-03 04:31:31,172,
2020-06-03 04:31:36,172,
2020-06-03 04:31:42,172,
2020-06-03 04:31:48,173,
2020-06-03 04:31:52,176,
2020-06-03 04:31:55,173,
2020-06-03 04:31:56,173,
2020-06-03 04:32:01,176,
2020-06-03 04:32:07,175,
2020-06-03 04:32:14,176,
2020-06-03 04:32:22,177,
2020-06-03 04:32:23,178,
2020-06-03 04:32:26,175,
2020-06-03 04:32:32,178,
2020-06-03 04:32:43,178,
2020-06-03 04:32:50,178,
2020-06-03 04:32:57,179,
2020-06-03 04:32:58,179,
2020-06-03 04:33:07,179,
2020-06-03 04:33:15,177,
2020-06-03 04:33:18,180,
2020-06-03 04:33:24,179,
2020-06-03 04:33:30,178,
2020-06-03 04:33:36,179,
2020-06-03 04:33:42,178,
2020-06-03 04:33:48,180,
2020-06-03 04:33:54,180,
2020-06-03 04:34:00,178,
2020-06-03 04:34:06,178,
2020-06-03 04:34:13,178,
2020-06-03 04:34:20,179,
2020-06-03 04:34:27,177,
2020-06-03 04:34:33,176,
2020-06-03 04:34:38,175,
2020-06-03 04:34:44,175,
2020-06-03 04:34:51,176,
2020-06-03 04:34:58,176,
2020-06-03 04:35:04,175,
2020-06-03 04:35:11,174,
2020-06-03 04:35:17,173,
2020-06-03 04:35:23,173,
2020-06-03 04:35:29,173,
2020-06-03 04:35:35,173,
2020-06-03 04:35:40,174,
2020-06-03 04:35:46,173,
2020-06-03 04:35:52,174,
2020-06-03 04:35:58,173,
2020-06-03 04:36:04,173,
2020-06-03 04:36:10,171,
2020-06-03 04:36:16,171,
2020-06-03 04:36:22,172,
2020-06-03 04:36:27,172,
2020-06-03 04:36:31,172,
2020-06-03 04:36:35,173,
2020-06-03 04:36:40,172,
2020-06-03 04:36:43,174,
