timestamp,heart_rate,timestamp_16
2020-06-01 02:13:21,102,
2020-06-01 02:13:22,101,
2020-06-01 02:13:26,105,
2020-06-01 02:13:33,101,
2020-06-01 02:13:35,94,
2020-06-01 02:13:36,91,
2020-06-01 02:13:38,97,
2020-06-01 02:13:40,102,
2020-06-01 02:13:41,99,
2020-06-01 02:13:42,102,
2020-06-01 02:13:43,106,
2020-06-01 02:13:44,109,
2020-06-01 02:13:47,112,
2020-06-01 02:13:49,119,
2020-06-01 02:13:51,122,
2020-06-01 02:13:53,127,
2020-06-01 02:13:54,133,
2020-06-01 02:13:55,138,
2020-06-01 02:14:01,137,
2020-06-01 02:14:06,133,
2020-06-01 02:14:08,138,
2020-06-01 02:14:15,138,
2020-06-01 02:14:16,135,
2020-06-01 02:14:37,140,
2020-06-01 02:14:38,146,
2020-06-01 02:14:39,146,
2020-06-01 02:14:40,150,
2020-06-01 02:14:42,147,
2020-06-01 02:14:43,142,
2020-06-01 02:14:44,142,
2020-06-01 02:14:50,144,
2020-06-01 02:14:53,141,
2020-06-01 02:14:54,138,
2020-06-01 02:14:55,138,
2020-06-01 02:15:01,139,
2020-06-01 02:15:07,142,
2020-06-01 02:15:13,139,
2020-06-01 02:15:19,141,
2020-06-01 02:15:25,142,
2020-06-01 02:15:31,144,
2020-06-01 02:15:37,145,
2020-06-01 02:15:41,148,
2020-06-01 02:15:44,151,
2020-06-01 02:15:50,150,
2020-06-01 02:15:56,148,
2020-06-01 02:16:02,147,
2020-06-01 02:16:08,148,
2020-06-01 02:16:14,149,
2020-06-01 02:16:20,149,
2020-06-01 02:16:24,146,
2020-06-01 02:16:30,146,
2020-06-01 02:16:36,147,
2020-06-01 02:16:42,147,
2020-06-01 02:16:48,147,
2020-06-01 02:16:54,149,
2020-06-01 02:17:00,149,
2020-06-01 02:17:06,150,
2020-06-01 02:17:12,149,
2020-06-01 02:17:18,149,
2020-06-01 02:17:24,149,
2020-06-01 02:17:30,147,
2020-06-01 02:17:36,147,
2020-06-01 02:17:42,146,
2020-06-01 02:17:48,147,
2020-06-01 02:17:53,150,
2020-06-01 02:17:57,153,
2020-06-01 02:18:03,150,
2020-06-01 02:18:09,151,
2020-06-01 02:18:15,153,
2020-06-01 02:18:21,153,
2020-06-01 02:18:27,151,
2020-06-01 02:18:30,152,
2020-06-01 02:18:36,152,
2020-06-01 02:18:42,153,
2020-06-01 02:18:48,151,
2020-06-01 02:18:54,151,
2020-06-01 02:18:59,154,
2020-06-01 02:19:05,154,
2020-06-01 02:19:11,153,
2020-06-01 02:19:17,153,
2020-06-01 02:19:23,152,
2020-06-01 02:19:29,151,
2020-06-01 02:19:35,149,
2020-06-01 02:19:41,149,
2020-06-01 02:19:47,148,
2020-06-01 02:19:53,147,
2020-06-01 02:19:57,150,
2020-06-01 02:20:03,152,
2020-06-01 02:20:09,153,
2020-06-01 02:20:15,151,
2020-06-01 02:20:21,151,
2020-06-01 02:20:27,151,
2020-06-01 02:20:33,151,
2020-06-01 02:20:39,150,
2020-06-01 02:20:45,149,
2020-06-01 02:20:51,147,
2020-06-01 02:20:57,149,
2020-06-01 02:21:03,149,
2020-06-01 02:21:09,149,
2020-06-01 02:21:15,149,
2020-06-01 02:21:21,150,
2020-06-01 02:21:23,145,
2020-06-01 02:21:25,149,
2020-06-01 02:21:26,154,
2020-06-01 02:21:27,159,
2020-06-01 02:21:28,164,
2020-06-01 02:21:30,169,
2020-06-01 02:21:31,173,
2020-06-01 02:21:32,173,
2020-06-01 02:21:33,178,
2020-06-01 02:21:39,179,
2020-06-01 02:21:45,179,
2020-06-01 02:21:51,180,
2020-06-01 02:21:57,179,
2020-06-01 02:22:02,176,
2020-06-01 02:22:04,179,
2020-06-01 02:22:10,180,
2020-06-01 02:22:16,180,
2020-06-01 02:22:22,179,
2020-06-01 02:22:28,178,
2020-06-01 02:22:34,178,
2020-06-01 02:22:40,178,
2020-06-01 02:22:45,184,
2020-06-01 02:22:46,187,
2020-06-01 02:22:50,183,
2020-06-01 02:22:56,184,
2020-06-01 02:22:58,185,
2020-06-01 02:23:04,186,
2020-06-01 02:23:10,187,
2020-06-01 02:23:16,187,
2020-06-01 02:23:21,190,
2020-06-01 02:23:27,189,
2020-06-01 02:23:33,192,
2020-06-01 02:23:36,189,
2020-06-01 02:23:40,192,
2020-06-01 02:23:43,189,
2020-06-01 02:23:46,192,
2020-06-01 02:23:48,189,
2020-06-01 02:23:54,190,
2020-06-01 02:24:00,190,
2020-06-01 02:24:03,193,
2020-06-01 02:24:09,192,
2020-06-01 02:24:15,190,
2020-06-01 02:24:21,188,
2020-06-01 02:24:22,191,
2020-06-01 02:24:28,190,
2020-06-01 02:24:34,190,
2020-06-01 02:24:40,189,
2020-06-01 02:24:46,188,
2020-06-01 02:24:49,188,
2020-06-01 02:25:23,179,
2020-06-01 02:25:24,179,
2020-06-01 02:25:27,182,
2020-06-01 02:25:33,177,
