timestamp,heart_rate,timestamp_16
2020-06-05 03:45:00,117,29688
2020-06-05 03:46:00,120,29748
2020-06-05 03:48:00,119,29868
2020-06-05 03:49:00,113,29928
2020-06-05 03:50:00,119,29988
2020-06-05 03:51:00,120,30048
2020-06-05 03:52:00,117,30108
2020-06-05 03:53:00,114,30168
2020-06-05 03:54:00,110,30228
2020-06-05 03:55:00,104,30288
2020-06-05 03:56:00,92,30348
2020-06-05 03:57:00,80,30408
2020-06-05 03:58:00,69,30468
2020-06-05 04:00:00,63,30588
2020-06-05 04:01:00,60,30648
2020-06-05 04:02:00,58,30708
2020-06-05 04:04:00,77,30828
2020-06-05 04:05:00,73,30888
2020-06-05 04:06:00,69,30948
2020-06-05 04:07:00,85,31008
