timestamp,heart_rate,timestamp_16
,65,51960
2020-06-07 16:46:00,66,52740
2020-06-07 16:48:00,65,52860
2020-06-07 16:52:00,66,53100
2020-06-07 16:53:00,82,53160
2020-06-07 16:54:00,84,53220
2020-06-07 16:55:00,80,53280
2020-06-07 16:56:00,71,53340
2020-06-07 16:57:00,67,53400
2020-06-07 16:58:00,66,53460
2020-06-07 17:00:00,65,53580
2020-06-07 17:01:00,66,53640
2020-06-07 17:09:00,65,54120
2020-06-07 17:10:00,66,54180
2020-06-07 17:25:00,66,55080
2020-06-07 17:28:00,65,55260
2020-06-07 17:30:00,66,55380
2020-06-07 17:33:00,65,55560
2020-06-07 17:37:00,66,55800
2020-06-07 17:46:00,65,56340
2020-06-07 17:47:00,66,56400
2020-06-07 17:48:00,65,56460
2020-06-07 17:50:00,66,56580
2020-06-07 17:52:00,65,56700
2020-06-07 17:54:00,66,56820
2020-06-07 17:57:00,65,57000
2020-06-07 17:58:00,66,57060
2020-06-07 17:59:00,65,57120
2020-06-07 18:00:00,66,57180
2020-06-07 18:01:00,65,57240
2020-06-07 18:02:00,66,57300
2020-06-07 18:04:00,65,57420
2020-06-07 18:06:00,66,57540
2020-06-07 18:11:00,65,57840
2020-06-07 18:12:00,66,57900
2020-06-07 18:13:00,65,57960
2020-06-07 18:15:00,66,58080
2020-06-07 18:18:00,65,58260
2020-06-07 18:20:00,66,58380
2020-06-07 18:22:00,65,58500
2020-06-07 18:23:00,62,58560
2020-06-07 18:24:00,61,58620
2020-06-07 18:31:00,63,59040
2020-06-07 18:32:00,67,59100
2020-06-07 18:33:00,64,59160
2020-06-07 18:34:00,62,59220
2020-06-07 18:35:00,60,59280
2020-06-07 18:37:00,59,59400
2020-06-07 18:39:00,60,59520
2020-06-07 18:40:00,59,59580
2020-06-07 18:41:00,60,59640
2020-06-07 18:42:00,59,59700
2020-06-07 18:43:00,60,59760
2020-06-07 18:44:00,59,59820
2020-06-07 18:53:00,60,60360
2020-06-07 18:54:00,59,60420
2020-06-07 18:55:00,60,60480
2020-06-07 18:56:00,59,60540
2020-06-07 18:58:00,60,60660
2020-06-07 18:59:00,59,60720
2020-06-07 19:00:00,60,60780
2020-06-07 19:15:00,60,61680
2020-06-07 19:30:00,60,62580
2020-06-07 19:31:00,59,62640
2020-06-07 19:32:00,60,62700
2020-06-07 19:34:00,69,62820
2020-06-07 19:35:00,72,62880
2020-06-07 19:36:00,64,62940
2020-06-07 19:37:00,61,63000
2020-06-07 19:38:00,60,63060
2020-06-07 19:50:00,59,63780
2020-06-07 19:51:00,60,63840
2020-06-07 20:01:00,61,64440
2020-06-07 20:02:00,60,64500
2020-06-07 20:03:00,59,64560
2020-06-07 20:05:00,60,64680
2020-06-07 20:16:00,59,65340
2020-06-07 20:18:00,60,65460
2020-06-07 20:19:00,75,65520
