timestamp,heart_rate,timestamp_16
2020-06-05 21:40:04,78,
2020-06-05 21:40:05,80,
2020-06-05 21:40:10,79,
2020-06-05 21:40:13,82,
2020-06-05 21:40:16,86,
2020-06-05 21:40:18,89,
2020-06-05 21:40:19,92,
2020-06-05 21:40:21,94,
2020-06-05 21:40:22,99,
2020-06-05 21:40:24,103,
2020-06-05 21:40:27,105,
2020-06-05 21:40:29,108,
2020-06-05 21:40:33,107,
2020-06-05 21:40:40,111,
2020-06-05 21:40:42,113,
2020-06-05 21:40:48,117,
2020-06-05 21:40:49,118,
2020-06-05 21:40:52,122,
2020-06-05 21:40:53,123,
2020-06-05 21:40:55,124,
2020-06-05 21:41:02,127,
2020-06-05 21:41:03,127,
2020-06-05 21:41:04,130,
2020-06-05 21:41:07,133,
2020-06-05 21:41:10,136,
2020-06-05 21:41:12,136,
2020-06-05 21:41:21,138,
2020-06-05 21:41:25,141,
2020-06-05 21:41:28,140,
2020-06-05 21:41:35,138,
2020-06-05 21:41:43,137,
2020-06-05 21:41:49,134,
2020-06-05 21:41:52,132,
2020-06-05 21:42:01,130,
2020-06-05 21:42:03,130,
2020-06-05 21:42:11,128,
2020-06-05 21:42:15,131,
2020-06-05 21:42:19,133,
2020-06-05 21:42:26,134,
2020-06-05 21:42:32,131,
2020-06-05 21:42:34,131,
2020-06-05 21:42:41,133,
2020-06-05 21:42:49,129,
2020-06-05 21:42:50,128,
2020-06-05 21:42:55,132,
2020-06-05 21:43:01,134,
2020-06-05 21:43:03,131,
2020-06-05 21:43:05,128,
2020-06-05 21:43:08,126,
2020-06-05 21:43:18,125,
2020-06-05 21:43:19,125,
2020-06-05 21:43:28,125,
2020-06-05 21:43:30,125,
2020-06-05 21:43:39,125,
2020-06-05 21:43:40,124,
2020-06-05 21:43:46,122,
2020-06-05 21:43:52,125,
2020-06-05 21:43:53,125,
2020-06-05 21:44:02,127,
2020-06-05 21:44:10,124,
2020-06-05 21:44:11,123,
2020-06-05 21:44:19,125,
2020-06-05 21:44:26,128,
2020-06-05 21:44:28,130,
2020-06-05 21:44:30,133,
2020-06-05 21:44:32,136,
2020-06-05 21:44:33,136,
2020-06-05 21:44:36,139,
2020-06-05 21:44:39,140,
2020-06-05 21:44:44,140,
2020-06-05 21:44:46,137,
2020-06-05 21:44:48,134,
2020-06-05 21:44:50,132,
2020-06-05 21:44:53,129,
2020-06-05 21:44:57,128,
2020-06-05 21:45:02,127,
2020-06-05 21:45:09,127,
2020-06-05 21:45:16,124,
2020-06-05 21:45:18,124,
2020-06-05 21:45:24,121,
2020-06-05 21:45:28,122,
2020-06-05 21:45:32,125,
2020-06-05 21:45:35,128,
2020-06-05 21:45:41,130,
2020-06-05 21:45:45,133,
2020-06-05 21:45:47,131,
2020-06-05 21:45:53,131,
2020-06-05 21:46:00,129,
2020-06-05 21:46:07,130,
2020-06-05 21:46:13,125,
2020-06-05 21:46:14,124,
2020-06-05 21:46:17,121,
2020-06-05 21:46:20,121,
2020-06-05 21:46:27,121,
2020-06-05 21:46:33,122,
2020-06-05 21:46:35,121,
2020-06-05 21:46:37,121,
2020-06-05 21:46:38,120,
2020-06-05 21:46:42,119,
2020-06-05 21:46:46,116,
2020-06-05 21:46:47,116,
2020-06-05 21:46:54,114,
2020-06-05 21:46:59,115,
2020-06-05 21:47:00,115,
2020-06-05 21:47:02,116,
2020-06-05 21:47:03,117,
