timestamp,heart_rate,timestamp_16
2020-05-17 00:52:00,62,16108
2020-05-17 00:53:00,60,16168
2020-05-17 00:54:00,59,16228
2020-05-17 00:55:00,61,16288
2020-05-17 00:56:00,64,16348
2020-05-17 00:57:00,65,16408
2020-05-17 00:58:00,66,16468
2020-05-17 00:59:00,62,16528
2020-05-17 01:00:00,61,16588
2020-05-17 01:01:00,63,16648
2020-05-17 01:04:00,60,16828
2020-05-17 01:08:00,65,17068
2020-05-17 01:10:00,68,17188
2020-05-17 01:11:00,64,17248
2020-05-17 01:12:00,62,17308
2020-05-17 01:14:00,61,17428
2020-05-17 01:15:00,59,17488
2020-05-17 01:16:00,60,17548
2020-05-17 01:17:00,56,17608
2020-05-17 01:18:00,60,17668
2020-05-17 01:19:00,59,17728
2020-05-17 01:21:00,58,17848
2020-05-17 01:22:00,57,17908
2020-05-17 01:23:00,58,17968
2020-05-17 01:25:00,60,18088
2020-05-17 01:26:00,68,18148
2020-05-17 01:27:00,63,18208
2020-05-17 01:28:00,60,18268
2020-05-17 01:29:00,59,18328
2020-05-17 01:30:00,58,18388
2020-05-17 01:31:00,59,18448
2020-05-17 01:32:00,56,18508
2020-05-17 01:33:00,58,18568
2020-05-17 01:34:00,57,18628
2020-05-17 01:35:00,58,18688
2020-05-17 01:36:00,59,18748
2020-05-17 01:37:00,61,18808
2020-05-17 01:38:00,58,18868
2020-05-17 01:39:00,56,18928
2020-05-17 01:40:00,57,18988
2020-05-17 01:41:00,63,19048
2020-05-17 01:42:00,62,19108
2020-05-17 01:43:00,65,19168
2020-05-17 01:44:00,60,19228
2020-05-17 01:45:00,61,19288
2020-05-17 01:47:00,60,19408
2020-05-17 01:48:00,59,19468
2020-05-17 01:49:00,60,19528
2020-05-17 01:50:00,59,19588
2020-05-17 01:51:00,63,19648
2020-05-17 01:52:00,75,19708
2020-05-17 01:53:00,76,19768
2020-05-17 01:54:00,85,19828
2020-05-17 01:55:00,77,19888
2020-05-17 01:56:00,72,19948
2020-05-17 01:57:00,65,20008
2020-05-17 01:58:00,66,20068
2020-05-17 01:59:00,56,20128
2020-05-17 02:01:00,61,20248
2020-05-17 02:02:00,59,20308
2020-05-17 02:04:00,56,20428
2020-05-17 02:05:00,55,20488
2020-05-17 02:06:00,54,20548
2020-05-17 02:07:00,53,20608
2020-05-17 02:09:00,51,20728
2020-05-17 02:10:00,53,20788
2020-05-17 02:11:00,54,20848
2020-05-17 02:12:00,55,20908
2020-05-17 02:15:00,52,21088
2020-05-17 02:16:00,54,21148
2020-05-17 02:17:00,53,21208
2020-05-17 02:18:00,52,21268
2020-05-17 02:20:00,51,21388
2020-05-17 02:22:00,53,21508
2020-05-17 02:23:00,52,21568
2020-05-17 02:24:00,54,21628
2020-05-17 02:25:00,53,21688
2020-05-17 02:26:00,55,21748
2020-05-17 02:27:00,54,21808
2020-05-17 02:28:00,53,21868
2020-05-17 02:29:00,56,21928
2020-05-17 02:31:00,54,22048
2020-05-17 02:35:00,52,22288
2020-05-17 02:36:00,50,22348
2020-05-17 02:37:00,51,22408
2020-05-17 02:43:00,53,22768
2020-05-17 02:44:00,52,22828
2020-05-17 02:45:00,62,22888
2020-05-17 02:46:00,58,22948
2020-05-17 02:47:00,59,23008
2020-05-17 02:48:00,55,23068
2020-05-17 02:50:00,57,23188
2020-05-17 02:51:00,65,23248
2020-05-17 02:52:00,64,23308
2020-05-17 02:53:00,50,23368
2020-05-17 02:55:00,49,23488
2020-05-17 02:56:00,50,23548
2020-05-17 02:57:00,56,23608
2020-05-17 02:58:00,52,23668
2020-05-17 02:59:00,50,23728
2020-05-17 03:00:00,56,23788
2020-05-17 03:01:00,53,23848
2020-05-17 03:02:00,51,23908
2020-05-17 03:03:00,53,23968
2020-05-17 03:04:00,52,24028
2020-05-17 03:06:00,55,24148
2020-05-17 03:08:00,59,24268
2020-05-17 03:09:00,54,24328
2020-05-17 03:11:00,57,24448
2020-05-17 03:12:00,52,24508
2020-05-17 03:13:00,54,24568
2020-05-17 03:14:00,58,24628
2020-05-17 03:16:00,59,24748
2020-05-17 03:17:00,50,24808
2020-05-17 03:18:00,53,24868
2020-05-17 03:19:00,50,24928
2020-05-17 03:20:00,49,24988
2020-05-17 03:22:00,54,25108
2020-05-17 03:23:00,52,25168
2020-05-17 03:25:00,50,25288
2020-05-17 03:26:00,52,25348
2020-05-17 03:27:00,51,25408
2020-05-17 03:28:00,52,25468
2020-05-17 03:29:00,54,25528
2020-05-17 03:30:00,51,25588
2020-05-17 03:31:00,49,25648
2020-05-17 03:32:00,48,25708
2020-05-17 03:34:00,49,25828
2020-05-17 03:35:00,50,25888
2020-05-17 03:37:00,51,26008
2020-05-17 03:38:00,60,26068
2020-05-17 03:39:00,66,26128
2020-05-17 03:40:00,68,26188
2020-05-17 03:41:00,59,26248
